namesurname,surname,firstname,name,id,alternativename,province,politicalparty,Column
"Βενιζελος, ΕυαγγελοςΕυάγγελος Βενιζέλος",Βενιζελος, Ευαγγελος,Ευάγγελος Βενιζέλος,29,,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,pasok,
"Βεσυροπουλος, ΑποστολοςΑπόστολος Βεσυρόπουλος *(bg)*",Βεσυροπουλος, Αποστολος,Απόστολος Βεσυρόπουλος ,30,,ΗΜΑΘΙΑΣ,nd,
"Βιρβιδακης, ΚυριακοςΚυριάκος Βιρβιδάκης",Βιρβιδακης, Κυριακος,Κυριάκος Βιρβιδάκης,31,,ΧΑΝΙΩΝ,nd,
"Βλαχβεης, ΜενελαοςΜενέλαος Βλάχβεης *(bg)*",Βλαχβεης, Μενελαος,Μενέλαος Βλάχβεης ,32,,ΣΕΡΡΩΝ,nd,
"Βλαχογιαννης, ΗλιαςΗλίας Βλαχογιάννης",Βλαχογιαννης, Ηλιας,Ηλίας Βλαχογιάννης,33,,ΤΡΙΚΑΛΩΝ,nd,
"Βλαχος, ΓεωργιοςΓεώργιος Βλάχος",Βλαχος, Γεωργιος,Γεώργιος Βλάχος,34,,ΑΤΤΙΚΗΣ,nd,
"Βογιατζης, ΠαυλοςΠαύλος Βογιατζής",Βογιατζης, Παυλος,Παύλος Βογιατζής,35,,ΛΕΣΒΟΥ,nd,
"Βολουδακης, Μανουσος-ΚωνσταντινοςΜανούσος-Κωνσταντίνος Βολουδάκης",Βολουδακης, Μανουσος-Κωνσταντινος,Μανούσος-Κωνσταντίνος Βολουδάκης,36,,ΧΑΝΙΩΝ,nd,
"Βοριδης, ΜαυρουδηςΜαυρουδής Βορίδης (Μάκης)",Βοριδης, Μαυρουδης,Μαυρουδής Βορίδης ,37,Μάκης Βοριδης,ΑΤΤΙΚΗΣ,nd,
"Βουδουρης, Οδυσσευς-ΝικοςΟδυσσεύς-Νίκος Βουδούρης",Βουδουρης, Οδυσσευς-Νικος,Οδυσσεύς-Νίκος Βουδούρης,38,,Β' ΑΘΗΝΩΝ,dimar,
"Βουλτεψη, ΣοφιαΣοφία Βούλτεψη",Βουλτεψη, Σοφια,Σοφία Βούλτεψη,39,,Β' ΑΘΗΝΩΝ,nd,
"Βουτσης, ΝικολαοςΝικόλαος Βούτσης",Βουτσης, Νικολαος,Νικόλαος Βούτσης,40,,Α' ΑΘΗΝΩΝ,syriza,
"Βρουτσης, ΙωαννηςΙωάννης Βρούτσης",Βρουτσης, Ιωαννης,Ιωάννης Βρούτσης,41,,ΚΥΚΛΑΔΩΝ,nd,
"Γαιτανη, ΙωανναΙωάννα Γαϊτάνη *(bg)*",Γαιτανη, Ιωαννα,Ιωάννα Γαϊτάνη ,42,,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,syriza,
"Γακης, ΔημητρηςΔημήτρης Γάκης",Γακης, Δημητρης,Δημήτρης Γάκης,43,,ΔΩΔΕΚΑΝΗΣΩΝ,syriza,
"Γελαλης, ΔημητρηςΔημήτρης Γελαλής",Γελαλης, Δημητρης,Δημήτρης Γελαλής,44,,ΛΑΡΙΣΗΣ,syriza,
"Γερασιμιδου, ΕλενηΕλένη Γερασιμίδου",Γερασιμιδου, Ελενη,Ελένη Γερασιμίδου,45,,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,kke,
"Γερμανιδης, ΑθανασιοςΑθανάσιος Γερμανίδης *(bg)*",Γερμανιδης, Αθανασιος,Αθανάσιος Γερμανίδης ,46,,ΦΛΩΡΙΝΗΣ,syriza,
"Γερμενης, ΓεωργιοςΓεώργιος Γερμενής *(fr)*",Γερμενης, Γεωργιος,Γεώργιος Γερμενής ,47,,Β' ΑΘΗΝΩΝ,xa,
"Γεροβασιλη, ΟλγαΌλγα Γεροβασίλη",Γεροβασιλη, Ολγα,Όλγα Γεροβασίλη,48,,ΑΡΤΗΣ,syriza,
"Γεροντοπουλος, ΚυριακοςΚυριάκος Γεροντόπουλος",Γεροντοπουλος, Κυριακος,Κυριάκος Γεροντόπουλος,49,,ΕΒΡΟΥ,nd,
"Γεωργαντας, ΓεωργιοςΓεώργιος Γεωργαντάς *(bg)*",Γεωργαντας, Γεωργιος,Γεώργιος Γεωργαντάς ,50,,ΚΙΛΚΙΣ,nd,
"Γεωργιαδης, Σπυριδων-αδωνιςΣπυρίδων-Άδωνις Γεωργιάδης",Γεωργιαδης, Σπυριδων-αδωνις,Σπυρίδων-Άδωνις Γεωργιάδης,51,,Β' ΑΘΗΝΩΝ,nd,
"Γεωργοπουλου-Σαλταρη, ΕυσταθιαΕυσταθία Γεωργοπούλου-Σάλταρη (Έφη)",Γεωργοπουλου-Σαλταρη, Ευσταθια,Ευσταθία Γεωργοπούλου-Σάλταρη ,52,Έφη Γεωργοπουλου-Σαλταρη,ΗΛΕΙΑΣ,syriza,
"Γιακουματος, ΓερασιμοςΓεράσιμος Γιακουμάτος",Γιακουματος, Γερασιμος,Γεράσιμος Γιακουμάτος,53,,Β' ΑΘΗΝΩΝ,nd,
"Γιαννακακη, ΜαριαΜαρία Γιαννακάκη",Γιαννακακη, Μαρια,Μαρία Γιαννακάκη,54,,Β' ΠΕΙΡΑΙΩΣ,dimar,
"Γιαταγανα, Χρυσουλα-ΜαριαΧρυσούλα-Μαρία Γιαταγάνα",Γιαταγανα, Χρυσουλα-Μαρια,Χρυσούλα-Μαρία Γιαταγάνα,55,,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,anel,
"Γιοβανοπουλος, ΚωνσταντινοςΚωνσταντίνος Γιοβανόπουλος *(bg)*",Γιοβανοπουλος, Κωνσταντινος,Κωνσταντίνος Γιοβανόπουλος ,56,,ΗΜΑΘΙΑΣ,anel,
"Γκερεκου, ΑντζελαΆντζελα Γκερέκου",Γκερεκου, Αντζελα,Άντζελα Γκερέκου,57,,ΚΕΡΚΥΡΑΣ,pasok,
"Γκιοκας, ΙωαννηςΙωάννης Γκιόκας",Γκιοκας, Ιωαννης,Ιωάννης Γκιόκας,58,,ΑΤΤΙΚΗΣ,kke,
"Γκιουλεκας, ΚωνσταντινοςΚωνσταντίνος Γκιουλέκας",Γκιουλεκας, Κωνσταντινος,Κωνσταντίνος Γκιουλέκας,59,,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,nd,
"Γκοκας, ΧρηστοςΧρήστος Γκόκας",Γκοκας, Χρηστος,Χρήστος Γκόκας,60,,ΑΡΤΗΣ,pasok,
"Γλεζος, ΕμμανουηλΕμμανουήλ Γλέζος",Γλεζος, Εμμανουηλ,Εμμανουήλ Γλέζος,61,,ΕΠΙΚΡΑΤΕΙΑΣ,syriza,
