namesurname,surname,firstname,name,id,alternativename,province,politicalparty,Column
"Κουκουτσης, ΔημητριοςΔημήτριος Κουκούτσης *(fr)*",Κουκουτσης, Δημητριος,Δημήτριος Κουκούτσης ,137,,ΜΕΣΣΗΝΙΑΣ,xa,
"Κουντουρα, ελεναΈλενα Κουντουρά",Κουντουρα, ελενα,Έλενα Κουντουρά,138,,Α' ΑΘΗΝΩΝ,anel,
"Κουρακης, ΑναστασιοςΑναστάσιος Κουράκης (Τάσος)",Κουρακης, Αναστασιος,Αναστάσιος Κουράκης ,139,Τάσος Κουρακης,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,syriza,
"Κουρακος, ΙωαννηςΙωάννης Κουράκος",Κουρακος, Ιωαννης,Ιωάννης Κουράκος,140,,Β' ΠΕΙΡΑΙΩΣ,anel,
"Κουρουμπλης, ΠαναγιωτηςΠαναγιώτης Κουρουμπλής",Κουρουμπλης, Παναγιωτης,Παναγιώτης Κουρουμπλής,141,,Β' ΑΘΗΝΩΝ,syriza,
"Κουτσογιαννακοπουλος, ΚωσταςΚώστας Κουτσογιαννακόπουλος",Κουτσογιαννακοπουλος, Κωστας,Κώστας Κουτσογιαννακόπουλος,142,,ΦΘΙΩΤΙΔΑΣ,nd,
"Κουτσουκος, ΓιαννηςΓιάννης Κουτσούκος",Κουτσουκος, Γιαννης,Γιάννης Κουτσούκος,143,,ΗΛΕΙΑΣ,pasok,
"Κουτσουμπας, ΑνδρεαςΑνδρέας Κουτσούμπας",Κουτσουμπας, Ανδρεας,Ανδρέας Κουτσούμπας,144,,ΒΟΙΩΤΙΑΣ,nd,
"Κοψαχειλης, ΤιμολεωνΤιμολέων Κοψαχείλης",Κοψαχειλης, Τιμολεων,Τιμολέων Κοψαχείλης,145,,ΓΡΕΒΕΝΩΝ,nd,
"Κρεμαστινος, ΔημητριοςΔημήτριος Κρεμαστινός",Κρεμαστινος, Δημητριος,Δημήτριος Κρεμαστινός,146,,ΔΩΔΕΚΑΝΗΣΟΥ,pasok,
"Κριτσωτακης, ΜιχαηλΜιχαήλ Κριτσωτάκης",Κριτσωτακης, Μιχαηλ,Μιχαήλ Κριτσωτάκης,147,,ΗΡΑΚΛΕΙΟΥ,syriza,
"Κυριαζιδης, ΔημητριοςΔημήτριος Κυριαζίδης",Κυριαζιδης, Δημητριος,Δημήτριος Κυριαζίδης,148,,ΔΡΑΜΑΣ,nd,
"Κυριακακης, ΒασιλειοςΒασίλειος Κυριακάκης",Κυριακακης, Βασιλειος,Βασίλειος Κυριακάκης,149,,ΦΘΙΩΤΙΔΑΣ,syriza,
"Κυριτσης, ΓεωργιοςΓεώργιος Κυρίτσης",Κυριτσης, Γεωργιος,Γεώργιος Κυρίτσης,150,,ΤΡΙΚΑΛΩΝ,dimar,
"Κωνσταντινιδης, ΕυσταθιοςΕυστάθιος Κωνσταντινίδης *(bg)*",Κωνσταντινιδης, Ευσταθιος,Ευστάθιος Κωνσταντινίδης ,151,,ΦΛΩΡΙΝΗΣ,nd,
"Κωνσταντινιδης, ΘεοδοσιοςΘεοδόσιος Κωνσταντινίδης",Κωνσταντινιδης, Θεοδοσιος,Θεοδόσιος Κωνσταντινίδης,152,,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,kke,
"Κωνσταντινοπουλος, ΟδυσσεαςΟδυσσέας Κωνσταντινόπουλος",Κωνσταντινοπουλος, Οδυσσεας,Οδυσσέας Κωνσταντινόπουλος,153,,ΑΡΚΑΔΙΑΣ,pasok,
"Κωνσταντοπουλος, ΓεωργιοςΓεώργιος Κωνσταντόπουλος",Κωνσταντοπουλος, Γεωργιος,Γεώργιος Κωνσταντόπουλος,154,,ΠΙΕΡΙΑΣ,nd,
"Κωνσταντοπουλου, ΖωηΖωή Κωνσταντοπούλου",Κωνσταντοπουλου, Ζωη,Ζωή Κωνσταντοπούλου,155,,Α' ΑΘΗΝΩΝ,syriza,
"Λαγος, ΙωαννηςΙωάννης Λαγός *(fr)*",Λαγος, Ιωαννης,Ιωάννης Λαγός ,156,,Β' ΠΕΙΡΑΙΩΣ,xa,
"Λαζαριδης, ΧρυσανθοςΧρύσανθος Λαζαρίδης",Λαζαριδης, Χρυσανθος,Χρύσανθος Λαζαρίδης,157,,ΕΠΙΚΡΑΤΕΙΑΣ,nd,
"Λαμπροπουλος, ΙωαννηςΙωάννης Λαμπρόπουλος",Λαμπροπουλος, Ιωαννης,Ιωάννης Λαμπρόπουλος,158,,ΜΕΣΣΗΝΙΑΣ,nd,
"Λαμπρουλης, ΓεωργιοςΓεώργιος Λαμπρούλης",Λαμπρουλης, Γεωργιος,Γεώργιος Λαμπρούλης,159,,ΛΑΡΙΣΗΣ,kke,
"Λαφαζανης, ΠαναγιωτηςΠαναγιώτης Λαφαζάνης",Λαφαζανης, Παναγιωτης,Παναγιώτης Λαφαζάνης,160,,Β' ΠΕΙΡΑΙΩΣ,syriza,
"Λεονταριδης, ΘεοφιλοςΘεόφιλος Λεονταρίδης *(bg)*",Λεονταριδης, Θεοφιλος,Θεόφιλος Λεονταρίδης ,161,,ΣΕΡΡΩΝ,nd,
"Λοβερδος, ΑνδρεαςΑνδρέας Λοβέρδος",Λοβερδος, Ανδρεας,Ανδρέας Λοβέρδος,162,,Β' ΑΘΗΝΩΝ,pasok,
"Λυκουδης, ΣπυριδωνΣπύρος Λυκούδης",Λυκουδης, Σπυριδων,Σπύρος Λυκούδης,163,,ΕΠΙΚΡΑΤΕΙΑΣ,dimar,
"Λυκουρεντζος, ΑνδρεαςΑνδρέας Λυκουρέντζος",Λυκουρεντζος, Ανδρεας,Ανδρέας Λυκουρέντζος,164,,ΑΡΚΑΔΙΑΣ,nd,
"Μακρη, Ζεττα*Ζωή Μακρή* (Ζέττα)",Μακρη,Ζέττα,Ζωή Μακρή,165,,ΜΑΓΝΗΣΙΑΣ,nd,
"Μακρη, ΡαχηλΡαχήλ Μακρή *(bg)*",Μακρη, Ραχηλ,Ραχήλ Μακρή ,166,,ΚΟΖΑΝΗΣ,anel,
"Μακρη-θεοδωρου, ΕλένηΕλένη Μακρή-Θεοδώρου",Μακρη-θεοδωρου, Ελένη,Ελένη Μακρή-Θεοδώρου,167,,ΦΘΙΩΤΙΔΑΣ,nd,
"Μανδρεκα, ΑσπασιαΑσπασία Μανδρέκα",Μανδρεκα, Ασπασια,Ασπασία Μανδρέκα,168,,ΦΩΚΙΔΟΣ,nd,
"Μανη-παπαδημητριου, ΑνναΆννα Μάνη-Παπαδημητρίου",Μανη-παπαδημητριου, Αννα,Άννα Μάνη-Παπαδημητρίου,169,,ΠΙΕΡΙΑΣ,nd,
"Μανιατης, ΙωαννηςΙωάννης Μανιάτης",Μανιατης, Ιωαννης,Ιωάννης Μανιάτης,170,,ΑΡΓΟΛΙΔΟΣ,pasok,
"Μαντας, ΧρηστοςΧρήστος Μαντάς",Μαντας, Χρηστος,Χρήστος Μαντάς,171,,ΙΩΑΝΝΙΝΩΝ,syriza,
"Μανωλακου, ΔιαμαντωΔιαμάντω Μανωλάκου",Μανωλακου, Διαμαντω,Διαμάντω Μανωλάκου,172,,Β' ΠΕΙΡΑΙΩΣ,kke,
"Μαριας, ΕπαμεινωνδαςΕπαμεινώνδας Μαριάς (Νότης)",Μαριας, Επαμεινωνδας,Επαμεινώνδας Μαριάς ,173,Νότης Μαριας,ΗΡΑΚΛΕΙΟΥ,anel,
"Μαρινος, ΑνδρεαςΑνδρέας Μαρίνος",Μαρινος, Ανδρεας,Ανδρέας Μαρίνος,174,,ΗΛΕΙΑΣ,nd,
"Μαρκογιαννακης, ΧρηστοςΧρήστος Μαρκογιαννάκης",Μαρκογιαννακης, Χρηστος,Χρήστος Μαρκογιαννάκης,175,,ΧΑΝΙΩΝ,nd,
"Μαρκοπουλος, ΚωνσταντινοςΚωνσταντίνος Μαρκόπουλος",Μαρκοπουλος, Κωνσταντινος,Κωνσταντίνος Μαρκόπουλος,176,,ΕΥΒΟΙΑΣ,anel,
"Μαρκου, ΑικατερινηΑικατερίνη Μάρκου",Μαρκου, Αικατερινη,Αικατερίνη Μάρκου,177,,Β' ΘΕΣΣΑΛΟΝΙΚΗΣ,dimar,
"Μαρτινου, ΓεωργιαΓεωργία Μαρτίνου",Μαρτινου, Γεωργια,Γεωργία Μαρτίνου,178,,ΑΤΤΙΚΗΣ,nd,
"Ματθαιοπουλος, Αρτεμιος*Αρτέμιος Ματθαιόπουλος*",Ματθαιόπουλος,Αρτέμιος,Αρτέμης Ματθαιόπουλος,179,,ΣΕΡΡΩΝ,nd,
"Μεϊκόπουλος, ΑλέξανδροςΑλέξανδρος Μεϊκόπουλος",Μεϊκόπουλος, Αλέξανδρος,Αλέξανδρος Μεϊκόπουλος,180,,ΜΑΓΝΗΣΙΑΣ,syriza,
"Μειμαρακης, Ευαγγελος-ΒασιλειοςΕυάγγελος-Βασίλειος Μεϊμαράκης",Μειμαρακης, Ευαγγελος-Βασιλειος,Ευάγγελος-Βασίλειος Μεϊμαράκης,181,,Β' ΑΘΗΝΩΝ,nd,
"Μελας, ΠαναγιωτηςΠαναγιώτης Μελάς",Μελας, Παναγιωτης,Παναγιώτης Μελάς,182,,Α' ΠΕΙΡΑΙΩΣ,anel,
"Μηταρακης, ΠαναγιωτηςΠαναγιώτης Μηταράκης (Νότης)",Μηταρακης, Παναγιωτης,Παναγιώτης Μηταράκης ,183,Νότης Μηταρακης,Α' ΑΘΗΝΩΝ,nd,
"Μητροπουλος, ΑλεξιοςΑλέξιος Μητρόπουλος",Μητροπουλος, Αλεξιος,Αλέξιος Μητρόπουλος,184,,ΑΤΤΙΚΗΣ,syriza,
"Μητσοτακης, ΚυριακοςΚυριάκος Μητσοτάκης",Μητσοτακης, Κυριακος,Κυριάκος Μητσοτάκης,185,,Β' ΑΘΗΝΩΝ,nd,
"Μιχαλακης, ΝικολαοςΝικόλαος Μιχαλάκης",Μιχαλακης, Νικολαος,Νικόλαος Μιχαλάκης,186,,ΚΑΡΔΙΤΣΗΣ,syriza,
"Μιχαλολιακος, ΝικολαοςΝικόλαος Μιχαλολιάκος",Μιχαλολιακος, Νικολαος,Νικόλαος Μιχαλολιάκος,187,,Α' ΑΘΗΝΩΝ,xa,
"Μιχελακης, ΙωαννηςΓιάννης Μιχελάκης",Μιχελακης, Ιωαννης,Γιάννης Μιχελάκης,188,,ΕΠΙΚΡΑΤΕΙΑΣ,nd,
"Μιχελογιαννακης, ΙωαννηςΙωάννης Μιχελογιαννάκης",Μιχελογιαννακης, Ιωαννης,Ιωάννης Μιχελογιαννάκης,189,,ΗΡΑΚΛΕΙΟΥ,dimar,
"Μιχος, ΝικολαοςΝικόλαος Μίχος *(fr)*",Μιχος, Νικολαος,Νικόλαος Μίχος ,190,,ΕΥΒΟΙΑΣ,xa,
"Μουτσινας, ΠαρισηςΠαρίσης Μουτσινάς (Πάρις)",Μουτσινας, Παρισης,Παρίσης Μουτσινάς ,191,Πάρις Μουτσινας,ΜΑΓΝΗΣΙΑΣ,dimar,
"Μπακογιαννη, ΘεοδωραΘεοδώρα Μπακογιάννη (Ντόρα)",Μπακογιαννη, Θεοδωρα,Θεοδώρα Μπακογιάννη ,192,Ντόρα Μπακογιαννη,ΕΠΙΚΡΑΤΕΙΑΣ,nd,
"Μπαρκας, ΚωσταςΚώστας Μπάρκας",Μπαρκας, Κωστας,Κώστας Μπάρκας,193,,ΠΡΕΒΕΖΗΣ,syriza,
"Μπαρμπαρουσης, ΚωνσταντινοςΚωνσταντίνος Μπαρμπαρούσης *(fr)*",Μπαρμπαρουσης, Κωνσταντινος,Κωνσταντίνος Μπαρμπαρούσης ,194,,ΑΙΤΩΛΙΑΣ ΚΑΙ AΚΑΡΝΑΝΙΑΣ,xa,
"Μπασιακος, ΕυαγγελοςΕυάγγελος Μπασιάκος",Μπασιακος, Ευαγγελος,Ευάγγελος Μπασιάκος,195,,ΒΟΙΩΤΙΑΣ,nd,
"Μπατσαρα, ΓεωργίαΓεωργία Μπατσαρά *(bg)*",Μπατσαρα, Γεωργία,Γεωργία Μπατσαρά ,196,,ΗΜΑΘΙΑΣ,nd,
"Μπεζας, ΑντωνιοςΑντώνιος Μπέζας",Μπεζας, Αντωνιος,Αντώνιος Μπέζας,197,,ΘΕΣΠΡΩΤΙΑΣ,nd,
"Μπολαρη, ΜαριαΜαρία Μπόλαρη",Μπολαρη, Μαρια,Μαρία Μπόλαρη,198,,Α' ΑΘΗΝΩΝ,syriza,
"Μπολαρης, ΜαρκοςΜάρκος Μπόλαρης",Μπολαρης, Μαρκος,Μάρκος Μπόλαρης,199,,ΣΕΡΡΩΝ,pasok,
"Μπουκουρας, ΕυσταθιοςΕυστάθιος Μπούκουρας *(fr)*",Μπουκουρας, Ευσταθιος,Ευστάθιος Μπούκουρας ,200,,ΚΟΡΙΝΘΙΑΣ,xa,
"Μπουρας, ΑθανασιοςΑθανάσιος Μπούρας",Μπουρας, Αθανασιος,Αθανάσιος Μπούρας,201,,ΑΤΤΙΚΗΣ,nd,
"Μπριανης, Δημητριος*Δημήτριος Μπριάνης*",Μπριάνης,Μπριάνης,Δημήτριος ,202,,ΦΘΙΩΤΙΔΑΣ,nd,
"Μωραιτακης, Αλεξανδρος**",Μωραϊτάκης,Αλέξανδρος ,Αλέξανδρος Μωραϊτάκης,203,,Α' ΑΘΗΝΩΝ,nd,
"Μωραιτης, ΑθανασιοςΑθανάσιος Μωραΐτης (Θάνος)",Μωραιτης, Αθανασιος,Αθανάσιος Μωραΐτης ,204,Θάνος Μωραιτης,ΑΙΤΩΛΙΑΣ ΚΑΙ AΚΑΡΝΑΝΙΑΣ,pasok,
"Μωραιτης, ΝικολαοςΝικόλαος Μωραΐτης",Μωραιτης, Νικολαος,Νικόλαος Μωραΐτης,205,,ΑΙΤΩΛΙΑΣ ΚΑΙ AΚΑΡΝΑΝΙΑΣ,kke,
"Νεράντζης, ΑναστασιοςΑναστάσιος Νεράντζης",Νεράντζης, Αναστασιος,Αναστάσιος Νεράντζης,206,,Β' ΠΕΙΡΑΙΩΣ,nd,
"Νικολοπουλος, ΝικοςΝίκος Νικολόπουλος",Νικολοπουλος, Νικος,Νίκος Νικολόπουλος,207,,ΑΧΑΪΑΣ,nd,
"Νταβλουρος, ΑθανασιοςΑθανάσιος Νταβλούρος",Νταβλουρος, Αθανασιος,Αθανάσιος Νταβλούρος,208,,ΑΧΑΪΑΣ,nd,
"Νταβρης, ΓεωργιοςΓεώργιος Νταβρής",Νταβρης, Γεωργιος,Γεώργιος Νταβρής,209,,ΑΧΑΪΑΣ,anel,
"Ντινοπουλος, ΑργυρηςΑργύρης Ντινόπουλος",Ντινοπουλος, Αργυρης,Αργύρης Ντινόπουλος,210,,Β' ΑΘΗΝΩΝ,nd,
"Ντολιος, ΓιωργοςΓιώργος Ντόλιος",Ντολιος, Γιωργος,Γιώργος Ντόλιος,211,,ΕΒΡΟΥ,pasok,
"Ξανθος, ΑνδρεαςΑνδρέας Ξανθός",Ξανθος, Ανδρεας,Ανδρέας Ξανθός,212,,ΡΕΘΥΜΝΗΣ,syriza,
"Ξηροτυρη-Αικατεριναρη, ΑσημιναΑσημίνα Ξηροτύρη-Αικατερινάρη",Ξηροτυρη-Αικατεριναρη, Ασημινα,Ασημίνα Ξηροτύρη-Αικατερινάρη,213,,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,dimar,
"Ξουλιδου, ΣταυρουλαΣταυρούλα Ξουλίδου",Ξουλιδου, Σταυρουλα,Σταυρούλα Ξουλίδου,214,,Β' ΘΕΣΣΑΛΟΝΙΚΗΣ,anel,
"Οικονομου, ΒασιλειοςΒασίλειος Οικονόμου",Οικονομου, Βασιλειος,Βασίλειος Οικονόμου,215,,ΑΤΤΙΚΗΣ,dimar,
"Ορφανος, ΓεωργιοςΓεώργιος Ορφανός",Ορφανος, Γεωργιος,Γεώργιος Ορφανός,216,,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,nd,
"Ουζουνιδης, ΜαρινοςΜαρίνος Ουζουνίδης",Ουζουνιδης, Μαρινος,Μαρίνος Ουζουνίδης,217,,ΕΒΡΟΥ,anel,
"Ουζουνιδου, ΕυγενιαΕυγενία Ουζουνίδου *(bg)*",Ουζουνιδου, Ευγενια,Ευγενία Ουζουνίδου ,218,,ΚΟΖΑΝΗΣ,syriza,
"Παναγιωταρος, ΗλιαςΗλίας Παναγιώταρος",Παναγιωταρος, Ηλιας,Ηλίας Παναγιώταρος,219,,Β' ΑΘΗΝΩΝ,xa,
"Παναγιωτοπουλος, ΝικολαοςΝικόλαος Παναγιωτόπουλος",Παναγιωτοπουλος, Νικολαος,Νικόλαος Παναγιωτόπουλος,220,,ΚΑΒΑΛΑΣ,nd,
"Παναγιωτοπουλος, ΠαναγιωτηςΠαναγιώτης Παναγιωτόπουλος (Πάνος)",Παναγιωτοπουλος, Παναγιωτης,Παναγιώτης Παναγιωτόπουλος ,221,Πάνος Παναγιωτοπουλος,Β' ΑΘΗΝΩΝ,nd,
"Παναγουλης, ΣταθηςΣτάθης Παναγούλης",Παναγουλης, Σταθης,Στάθης Παναγούλης,222,,Β' ΑΘΗΝΩΝ,syriza,
"Πανουσης, ΙωαννηςΙωάννης Πανούσης",Πανουσης, Ιωαννης,Ιωάννης Πανούσης,223,,Α' ΑΘΗΝΩΝ,dimar,
"Παντζας, ΓιωργοςΓιώργος Πάντζας",Παντζας, Γιωργος,Γιώργος Πάντζας,224,,ΑΤΤΙΚΗΣ,syriza,
"Παπαδημουλης, ΔημητριοςΔημήτριος Παπαδημούλης",Παπαδημουλης, Δημητριος,Δημήτριος Παπαδημούλης,225,,Β' ΑΘΗΝΩΝ,syriza,
"Παπαδοπουλος, ΜιχαηλΜιχαήλ Παπαδόπουλος",Παπαδοπουλος, Μιχαηλ,Μιχαήλ Παπαδόπουλος,226,,ΚΟΖΑΝΗΣ,nd,
"Παπακωστα-Σιδηροπουλου, ΑικατερινηΑικατερίνη Παπακώστα-Σιδηροπούλου",Παπακωστα-Σιδηροπουλου, Αικατερινη,Αικατερίνη Παπακώστα-Σιδηροπούλου,227,,Β' ΑΘΗΝΩΝ,nd,
"Παπανδρεου, ΓεωργιοςΓεώργιος Παπανδρέου",Παπανδρεου, Γεωργιος,Γεώργιος Παπανδρέου,228,,ΑΧΑΪΑΣ,pasok,
"Παπαρηγα, ΑλεξανδραΑλεξάνδρα Παπαρήγα",Παπαρηγα, Αλεξανδρα,Αλεξάνδρα Παπαρήγα,229,,Β' ΑΘΗΝΩΝ,kke,
"Παππας, ΧρηστοςΧρήστος Παππάς *(fr)*",Παππας, Χρηστος,Χρήστος Παππάς ,230,,ΕΠΙΚΡΑΤΕΙΑΣ,xa,
"Παραστατιδης, ΘεοδωροςΘεόδωρος Παραστατίδης",Παραστατιδης, Θεοδωρος,Θεόδωρος Παραστατίδης,231,,ΚΙΛΚΙΣ,pasok,
"Πασχαλιδης, ΙωαννηςΙωάννης Πασχαλίδης",Πασχαλιδης, Ιωαννης,Ιωάννης Πασχαλίδης,232,,ΚΑΒΑΛΑΣ,nd,
"Πατριανακου, ΦεβρωνιαΦεβρωνία Πατριανάκου",Πατριανακου, Φεβρωνια,Φεβρωνία Πατριανάκου,233,,ΛΑΚΩΝΙΑΣ,nd,
"Παυλοπουλος, ΠροκοπιοςΠροκόπιος Παυλόπουλος",Παυλοπουλος, Προκοπιος,Προκόπιος Παυλόπουλος,234,,Α' ΑΘΗΝΩΝ,nd,
"Παφιλης, ΑθανασιοςΑθανάσιος Παφίλης *(en)*",Παφιλης, Αθανασιος,Αθανάσιος Παφίλης ,235,,ΕΠΙΚΡΑΤΕΙΑΣ,kke,
"Πετρακος, ΑθανασιοςΑθανάσιος Πετράκος",Πετρακος, Αθανασιος,Αθανάσιος Πετράκος,236,,ΜΕΣΣΗΝΙΑΣ,syriza,
"Πιπιλη, ΦωτεινηΦωτεινή Πιπιλή",Πιπιλη, Φωτεινη,Φωτεινή Πιπιλή,237,,Α' ΑΘΗΝΩΝ,nd,
"Πλακιωτακης, ΙωαννηςΙωάννης Πλακιωτάκης",Πλακιωτακης, Ιωαννης,Ιωάννης Πλακιωτάκης,238,,ΛΑΣΙΘΙΟΥ,nd,
"Πολυδωρας, ΒυρωνΒύρων Πολύδωρας",Πολυδωρας, Βυρων,Βύρων Πολύδωρας,239,,Β' ΑΘΗΝΩΝ,nd,
"Ραπτη, ΕλενηΕλένη Ράπτη",Ραπτη, Ελενη,Ελένη Ράπτη,240,,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,nd,
"Ρεπουση, ΜαριαΜαρία Ρεπούση",Ρεπουση, Μαρια,Μαρία Ρεπούση,241,,Α' ΠΕΙΡΑΙΩΣ,dimar,
"Ρηγας, ΠαναγιωτηςΠαναγιώτης Ρήγας",Ρηγας, Παναγιωτης,Παναγιώτης Ρήγας,242,,ΚΥΚΛΑΔΩΝ,pasok,
"Σακοραφα, ΣοφιαΣοφία Σακοράφα",Σακοραφα, Σοφια,Σοφία Σακοράφα,243,,Β' ΑΘΗΝΩΝ,syriza,
"Σαλμας, ΜαριοςΜάριος Σαλμάς",Σαλμας, Μαριος,Μάριος Σαλμάς,244,,ΑΙΤΩΛΙΑΣ ΚΑΙ AΚΑΡΝΑΝΙΑΣ,nd,
"Σαλτουρος, ΔημητριοςΔημήτριος Σαλτούρος",Σαλτουρος, Δημητριος,Δημήτριος Σαλτούρος,245,,ΞΑΝΘΗΣ,pasok,
"Σαμαρας, ΑντωνιοςΑντώνιος Σαμαράς",Σαμαρας, Αντωνιος,Αντώνιος Σαμαράς,246,,ΜΕΣΣΗΝΙΑΣ,nd,
"Σαμοιλης, ΣτεφανοςΣτέφανος Σαμοΐλης",Σαμοιλης, Στεφανος,Στέφανος Σαμοΐλης,247,,ΚΕΡΚΥΡΑΣ,syriza,
"Σαμπαζιωτης, ΔημητριοςΔημήτριος Σαμπαζιώτης",Σαμπαζιωτης, Δημητριος,Δημήτριος Σαμπαζιώτης,248,,ΜΕΣΣΗΝΙΑΣ,nd,
"Σαχινιδης, ΦιλιπποςΦίλιππος Σαχινίδης",Σαχινιδης, Φιλιππος,Φίλιππος Σαχινίδης,249,,ΛΑΡΙΣΗΣ,pasok,
"Σενετακης, ΜαξιμοςΜάξιμος Σενετάκης",Σενετακης, Μαξιμος,Μάξιμος Σενετάκης,250,,ΗΡΑΚΛΕΙΟΥ,nd,
"Σηφουνακης, ΝικολαοςΝικόλαος Σηφουνάκης",Σηφουνακης, Νικολαος,Νικόλαος Σηφουνάκης,251,,ΛΕΣΒΟΥ,pasok,
"Σκανδαλιδης, ΚωνσταντινοςΚωνσταντίνος Σκανδαλίδης",Σκανδαλιδης, Κωνσταντινος,Κωνσταντίνος Σκανδαλίδης,252,,Α' ΑΘΗΝΩΝ,pasok,
"Σκονδρα, ΑσημιναΑσημίνα Σκόνδρα",Σκονδρα, Ασημινα,Ασημίνα Σκόνδρα,253,,ΚΑΡΔΙΤΣΗΣ,nd,
"Σκρεκας, ΚωνσταντινοςΚωνσταντίνος Σκρέκας",Σκρεκας, Κωνσταντινος,Κωνσταντίνος Σκρέκας,254,,ΤΡΙΚΑΛΩΝ,nd,
"Σολδατος, ΘεοδωροςΘεόδωρος Σολδάτος",Σολδατος, Θεοδωρος,Θεόδωρος Σολδάτος,255,,ΛΕΥΚΑΔΟΣ,nd,
"Σπηλιωτοπουλος, ΑριστοβουλοςΑριστόβουλος Σπηλιωτόπουλος (Άρης)",Σπηλιωτοπουλος, Αριστοβουλος,Αριστόβουλος Σπηλιωτόπουλος ,256,Άρης Σπηλιωτοπουλος,Β' ΑΘΗΝΩΝ,nd,
"Σταθακης, ΓεωργιοςΓεώργιος Σταθάκης",Σταθακης, Γεωργιος,Γεώργιος Σταθάκης,257,,ΧΑΝΙΩΝ,syriza,
"Σταθας, ΙωαννηςΙωάννης Σταθάς",Σταθας, Ιωαννης,Ιωάννης Σταθάς,258,,ΒΟΙΩΤΙΑΣ,syriza,
"Σταικουρας, ΧρηστοςΧρήστος Σταϊκούρας",Σταικουρας, Χρηστος,Χρήστος Σταϊκούρας,259,,ΦΘΙΩΤΙΔΑΣ,nd,
"Σταμενιτης, ΔιονυσιοςΔιονύσιος Σταμενίτης *(bg)*",Σταμενιτης, Διονυσιος,Διονύσιος Σταμενίτης ,260,,ΠΕΛΛΗΣ,nd,
"Σταμπουλη, ΑφροδιτηΑφροδίτη Σταμπουλή *(bg)*",Σταμπουλη, Αφροδιτη,Αφροδίτη Σταμπουλή ,261,,ΣΕΡΡΩΝ,syriza,
"Σταυρινουδη-Σοδη, Μαρια*Μαρία Σταυρινούδη-Σόδη*",Σταυρινούδη-Σόδη,Μαρία ,Μαρία Σταυρινούδη-Σόδη,262,,ΧΙΟΥ,"Ν.Δ. (αντικατάσταση του παραιτηθέντος βουλευτή Σταμάτη Κάρμαντζη, ο οποίος 
αντικατέστησε με τη σειρά του τον βουλευτή Κωνσταντίνου Μουσουρούλη λόγω 
παραίτησης)",
"Στρατουλης, ΔημητριοςΔημήτριος Στρατούλης",Στρατουλης, Δημητριος,Δημήτριος Στρατούλης,263,,Β' ΑΘΗΝΩΝ,syriza,
"Στυλιανιδης, ΕυριπιδηςΕυριπίδης Στυλιανίδης",Στυλιανιδης, Ευριπιδης,Ευριπίδης Στυλιανίδης,264,,ΡΟΔΟΠΗΣ,nd,
"Στυλιος, ΓεωργιοςΓεώργιος Στύλιος",Στυλιος, Γεωργιος,Γεώργιος Στύλιος,265,,ΑΡΤΗΣ,nd,
"Συρμαλενιος, ΝικολαοςΝικόλαος Συρμαλένιος",Συρμαλενιος, Νικολαος,Νικόλαος Συρμαλένιος,266,,ΚΥΚΛΑΔΩΝ,syriza,
"Ταγαρας, ΝικολαοςΝικόλαος Ταγαράς",Ταγαρας, Νικολαος,Νικόλαος Ταγαράς,267,,ΚΟΡΙΝΘΙΑΣ,nd,
"Ταλιαδουρος, ΣπυριδωνΣπυρίδων Ταλιαδούρος *(en)*",Ταλιαδουρος, Σπυριδων,Σπυρίδων Ταλιαδούρος ,268,,ΚΑΡΔΙΤΣΗΣ,nd,
"Ταμηλος, ΜιχαηλΜιχαήλ Ταμήλος",Ταμηλος, Μιχαηλ,Μιχαήλ Ταμήλος,269,,ΤΡΙΚΑΛΩΝ,nd,
"Τασουλας, ΚωνσταντινοςΚωνσταντίνος Τασούλας",Τασουλας, Κωνσταντινος,Κωνσταντίνος Τασούλας,270,,ΙΩΑΝΝΙΝΩΝ,nd,
"Τατσοπουλος, Πετρος-ΓεωργιοςΠέτρος-Γεώργιος Τατσόπουλος",Τατσοπουλος, Πετρος-Γεωργιος,Πέτρος-Γεώργιος Τατσόπουλος,271,,Β' ΑΘΗΝΩΝ,syriza,
"Τζαβαρας, ΚωνσταντινοςΚωνσταντίνος Τζαβάρας",Τζαβαρας, Κωνσταντινος,Κωνσταντίνος Τζαβάρας,272,,ΗΛΕΙΑΣ,nd,
"Τζακρη, ΘεοδωραΘεοδώρα Τζάκρη",Τζακρη, Θεοδωρα,Θεοδώρα Τζάκρη,273,,ΠΕΛΛΗΣ,pasok,
"Τζαμτζης, ΙορδανηςΙορδάνης Τζαμτζής",Τζαμτζης, Ιορδανης,Ιορδάνης Τζαμτζής,274,,ΠΕΛΛΗΣ,nd,
"Τραγακης, ΙωαννηςΙωάννης Τραγάκης",Τραγακης, Ιωαννης,Ιωάννης Τραγάκης,275,,Β' ΠΕΙΡΑΙΩΣ,nd,
"Τριανταφυλλος, ΚωνσταντινοςΚωνσταντίνος Τριαντάφυλλος",Τριανταφυλλος, Κωνσταντινος,Κωνσταντίνος Τριαντάφυλλος,276,,ΧΙΟΥ,pasok,
